CRATER_ID,LAT_CIRC_IMG,LON_CIRC_IMG,LAT_ELLI_IMG,LON_ELLI_IMG,DIAM_CIRC_IMG,DIAM_CIRC_SD_IMG,DIAM_ELLI_MAJOR_IMG,DIAM_ELLI_MINOR_IMG,DIAM_ELLI_ECCEN_IMG,DIAM_ELLI_ELLIP_IMG,DIAM_ELLI_ANGLE_IMG,LAT_ELLI_SD_IMG,LON_ELLI_SD_IMG,DIAM_ELLI_MAJOR_SD_IMG,DIAM_ELLI_MINOR_SD_IMG,DIAM_ELLI_ANGLE_SD_IMG,DIAM_ELLI_ECCEN_SD_IMG,DIAM_ELLI_ELLIP_SD_IMG,ARC_IMG,PTS_RIM_IMG
04-1-089116,44.0222,281.189,44.0221,281.19,2.37777,0.0302201,2.40877,2.32382,0.263235,1.03656,82.7898,0.000245257,0.000433578,0.0185656,0.0260926,10.0827,0.0481524,0.014117,0.785446,20
04-1-089117,44.0018,281.058,43.9991,281.059,3.09983,0.177859,3.74949,2.57409,0.727115,1.45663,97.9594,0.000889679,0.000855004,0.0643678,0.0305141,1.94252,0.0135226,0.0303886,0.7592,17
04-1-089118,44.0974,281.089,44.0976,281.089,1.54067,0.0581806,1.71243,1.37504,0.596011,1.24537,112.624,0.000278935,0.000336206,0.0202174,0.0177402,2.68142,0.018919,0.0217793,1,13
04-1-089119,44.2006,281.164,44.2005,281.164,1.52449,0.0438685,1.60816,1.44068,0.444346,1.11625,108.652,0.000321112,0.000424526,0.0233973,0.0217886,6.72704,0.0379037,0.0234255,1,13
04-1-089120,44.0522,280.95,44.0521,280.95,1.39761,0.0328297,1.50595,1.2908,0.515086,1.16667,113.975,0.00026804,0.000347238,0.020312,0.0183763,4.09683,0.027972,0.0228798,1,13
04-1-089121,44.0771,280.748,44.0772,280.748,2.76936,0.0427859,2.80745,2.72037,0.247125,1.03201,48.2191,0.00034811,0.00045008,0.0226188,0.0245506,14.2907,0.0459645,0.012485,0.857976,26
04-1-089122,44.0097,280.752,44.0096,280.752,1.88853,0.0581554,1.95197,1.80733,0.377757,1.08002,71.3183,0.0003945,0.000554496,0.0290291,0.0309492,9.28141,0.0514723,0.0244956,1,19
04-1-089124,44.2171,280.843,44.2172,280.843,1.12038,0.0340646,1.19079,1.04869,0.473727,1.1355,107.302,0.000304266,0.000372072,0.0217689,0.0198213,7.157,0.0430506,0.0298583,1,10
04-1-089125,44.2863,280.883,44.2862,280.883,1.11528,0.0534919,1.2403,0.993583,0.598551,1.24831,90.0523,0.000467531,0.000549611,0.0339597,0.0290339,6.06331,0.0429339,0.049988,1,10
04-1-089127,44.2421,281.223,44.2421,281.223,1.04311,0.0366105,1.14665,0.917618,0.599649,1.24959,103.619,0.00042394,0.000548894,0.0321478,0.0309292,5.80894,0.0468231,0.0547846,1,12
04-1-089128,44.6411,281.52,44.6409,281.519,3.19362,0.0287295,3.22585,3.08878,0.288407,1.04438,107.287,0.000157327,0.000566366,0.0111959,0.0261601,6.24257,0.0290964,0.00955912,0.716336,27
04-1-089129,44.5576,281.54,44.5574,281.54,1.24843,0.0362137,1.32969,1.13537,0.520497,1.17115,89.0828,0.000143471,0.000217097,0.0105388,0.012118,2.63108,0.0186216,0.0155693,0.802411,13
04-1-089130,44.7161,281.829,44.716,281.829,1.18951,0.0257587,1.22904,1.1501,0.352609,1.06864,70.0411,0.000389305,0.000508668,0.0307936,0.0274977,15.3653,0.0860055,0.0370093,1,11
04-1-089131,44.5689,281.902,44.5689,281.902,1.00951,0.0274605,1.05233,0.958516,0.41273,1.09787,91.8421,0.00027742,0.000385785,0.0210145,0.0214694,9.75616,0.0603209,0.0329449,1,12
04-1-089132,44.7622,281.761,44.7622,281.76,2.30998,0.0543136,2.42731,2.18282,0.437389,1.11201,91.5759,0.000262911,0.000357201,0.0191813,0.0188391,3.68989,0.0216357,0.0130126,1,25
04-1-089133,44.7265,281.595,44.7266,281.596,2.03122,0.0787095,2.21858,1.82405,0.569242,1.21629,107.244,0.000267901,0.0003681,0.0198868,0.0192754,2.32745,0.0164549,0.0168542,0.88282,19
04-1-089134,44.8911,281.692,44.891,281.691,1.45792,0.0410125,1.56819,1.35026,0.508561,1.16141,84.2145,0.000329326,0.000400669,0.0247061,0.0213705,4.78282,0.0325544,0.025936,1,15
04-1-089135,44.6687,281.429,44.6685,281.424,2.02369,0.0437948,2.11913,1.69537,0.599962,1.24996,99.1041,0.000161286,0.000387721,0.0117792,0.0216865,1.47806,0.014879,0.0174333,0.722307,17
04-1-089136,44.682,281.349,44.6819,281.349,1.82607,0.0369502,1.8981,1.75706,0.378262,1.08027,49.0683,0.000296733,0.000554323,0.0250427,0.0225246,9.36581,0.0416743,0.0198725,0.811928,16
04-1-089137,44.7562,281.106,44.7562,281.107,2.39016,0.0471875,2.48718,2.28216,0.397572,1.08983,121.185,0.00023045,0.000459329,0.0180699,0.0194882,5.3931,0.0237432,0.012219,0.788129,18
04-1-089139,44.8785,281.159,44.8787,281.159,1.5114,0.0527096,1.64566,1.38208,0.542846,1.19071,79.5586,0.000427491,0.00053239,0.0322595,0.0278056,5.17933,0.0364969,0.0334468,1,16
04-1-089140,44.8755,280.934,44.8755,280.934,1.9163,0.0233469,1.92211,1.90849,0.118802,1.00713,173.134,0.000246832,0.000355879,0.0189175,0.01841,62.7358,0.114363,0.0138794,1,18
04-1-089141,44.3947,280.819,44.3947,280.819,1.0188,0.0278108,1.09019,0.9525,0.48647,1.14456,76.3068,0.000177822,0.000220278,0.0132649,0.011308,4.26868,0.0266751,0.0194571,1,14
