selenographic crater coordinates: ID, X, Y, Z, a_dia_metres, b_dia_metres, angle(degree)
04-1-082657, 826350.28514050, -1058860.50822787, 1102051.90003176, 1.21, 1.05, 2.02
04-1-082659, 827644.93399782, -1058537.27565101, 1101390.69329874, 1.18, 1.16, 2.30
04-1-082665, 844362.46315543, -1052091.44113950, 1094858.15989794, 1.29, 1.18, 2.14
04-1-082666, 851574.94983543, -1050032.72893803, 1091242.47212604, 1.56, 1.40, 1.44
04-1-082667, 850867.60557786, -1052084.92469412, 1089816.67678999, 1.60, 1.40, 1.49
04-1-082670, 860866.95944939, -1042645.61039033, 1091034.81578827, 1.11, 0.98, 1.57
04-1-082672, 864202.41896706, -1030683.28727756, 1099729.46690457, 2.00, 1.73, 1.57
04-1-084185, 828888.63793194, -1031703.66217276, 1125650.89586721, 3.11, 2.94, 2.76
04-1-084186, 832926.29642325, -1035766.27659977, 1118919.46313633, 1.41, 1.31, 2.19
04-1-084187, 840103.47473574, -1039183.21769402, 1110352.71504150, 1.70, 1.60, 1.64
04-1-084189, 814178.20248966, -1047441.07790803, 1121846.60399788, 1.47, 1.30, 1.82
04-1-084191, 801689.23482848, -1054313.05399329, 1124400.78038903, 3.98, 3.87, 0.38
04-1-084193, 799677.10436490, -1068755.99119511, 1112131.25126449, 1.75, 1.69, 1.02
04-1-084198, 769427.89938010, -1058793.46697340, 1142582.97814644, 1.72, 1.55, 1.42
04-1-084200, 766907.72165004, -1058118.96265847, 1144899.80668009, 2.07, 1.95, 1.78
04-1-084202, 780362.90398234, -1065762.27655572, 1128602.35156543, 1.09, 1.01, 1.65
04-1-084206, 786632.22118720, -1058043.35615651, 1131509.06540034, 1.82, 1.68, 1.49
04-1-084209, 767408.73679908, -1085375.86999328, 1118750.11129420, 1.82, 1.69, 1.29
04-1-084212, 745124.58949656, -1091779.59662320, 1127548.41072339, 1.47, 1.42, 2.06
04-1-084213, 748804.91856860, -1099313.59175949, 1117747.54792857, 1.28, 1.15, 1.50
04-1-084214, 732851.25732085, -1119615.54146466, 1108128.52772323, 1.52, 1.21, 1.47
04-1-084216, 731156.91818847, -1122363.03590833, 1106467.14212930, 1.17, 1.07, 1.14
04-1-084219, 712904.57418085, -1113838.16940838, 1126805.37826237, 1.15, 0.96, 1.63
04-1-084220, 711862.68516743, -1119857.52817179, 1121485.35169354, 1.24, 0.97, 1.38
04-1-084227, 707782.21923258, -1127951.64753685, 1115942.72745384, 1.47, 1.29, 1.95
04-1-084228, 713376.78850122, -1132998.52456506, 1107233.78785199, 1.62, 1.37, 1.94
04-1-084232, 700403.88918496, -1132325.84039670, 1116168.15184116, 1.18, 1.11, 1.73
04-1-084242, 697640.08997355, -1141797.34909054, 1108221.94459030, 2.48, 2.40, 1.87
04-1-084246, 684716.71946501, -1141680.30491242, 1116372.63288750, 1.41, 1.18, 1.63
04-1-084247, 681726.92766193, -1139443.70980522, 1120479.89195967, 1.17, 1.13, 2.56
04-1-084255, 670925.37921826, -1141418.35576227, 1124980.90323783, 1.35, 1.12, 1.66
04-1-084259, 647027.64093008, -1158004.38343671, 1122024.88377656, 1.46, 1.38, 2.45
04-1-084260, 645541.23838014, -1156434.09450004, 1124497.86777410, 1.01, 1.00, 3.00
04-1-084261, 644174.63959306, -1170007.36259993, 1111161.80872415, 2.16, 2.08, 2.28
04-1-084262, 651975.58995680, -1168535.68339478, 1108156.55335047, 1.22, 1.06, 1.53
04-1-084265, 622787.29616198, -1163443.00126719, 1130086.33587954, 1.11, 1.06, 1.65
04-1-084266, 619745.68509178, -1164297.21448118, 1130878.43827773, 1.08, 0.93, 1.52
04-1-084267, 621748.46830398, -1165312.36809962, 1128731.45030858, 1.15, 1.07, 1.71
04-1-084268, 622682.34305552, -1180023.54707078, 1112820.68996105, 1.07, 0.97, 1.92
04-1-084269, 621855.32286871, -1186874.70201717, 1105976.11146513, 1.26, 1.17, 2.70
04-1-084272, 612691.52315599, -1180387.75152428, 1117968.07356215, 2.01, 1.94, 2.70
04-1-084273, 610028.05574673, -1180441.35607832, 1119367.11407020, 1.40, 1.32, 1.05
04-1-084274, 611164.69610226, -1184617.15447149, 1114324.31166608, 1.31, 1.19, 1.35
04-1-084275, 608309.94178497, -1177469.38845495, 1123424.94808381, 1.11, 1.02, 1.94
04-1-084276, 604572.69965967, -1176724.84293241, 1126219.00838687, 1.54, 1.42, 1.66
04-1-084282, 599487.58621477, -1195480.89834842, 1109053.11669841, 1.27, 0.87, 1.95
04-1-084286, 586644.59000446, -1184381.91756344, 1127672.98378885, 1.48, 1.25, 1.88
04-1-084290, 590802.24680486, -1200933.24693548, 1107822.54967812, 1.29, 1.20, 1.97
04-1-084292, 581124.70152275, -1186799.76839708, 1127988.98532421, 2.32, 2.26, 2.00
04-1-084294, 578822.04536158, -1205933.52672987, 1108714.62915950, 1.64, 1.62, 3.01
04-1-084296, 576338.64335137, -1206043.11151921, 1109888.52653632, 1.29, 1.16, 2.07
04-1-084302, 560407.91705188, -1212833.85440460, 1110646.55409165, 1.33, 1.22, 1.66
04-1-084303, 551071.56215035, -1210727.80738690, 1117594.32255595, 2.31, 2.08, 1.10
04-1-084304, 547425.65035158, -1213881.81532215, 1115963.64446488, 1.17, 0.95, 1.46
04-1-084305, 540359.94543248, -1204941.77506816, 1129019.57824822, 1.34, 1.17, 1.65
04-1-084307, 541657.49297183, -1222262.01427167, 1109613.21584416, 1.28, 1.24, 1.33
04-1-084311, 522946.90858287, -1217602.02997746, 1123623.86384341, 1.23, 1.10, 1.57
04-1-084313, 515772.80624996, -1218868.17782287, 1125565.43009449, 1.22, 1.14, 2.80
04-1-084315, 507743.83344475, -1224592.82456621, 1122999.27587678, 1.21, 0.98, 1.42
04-1-084323, 471023.99991699, -1246134.17582148, 1115277.88795076, 1.26, 1.16, 1.58
04-1-084324, 466866.46002962, -1234809.22609334, 1129531.16099299, 1.80, 1.73, 0.47
04-1-084326, 454434.30522678, -1243952.41159096, 1124557.96646064, 2.30, 2.23, 2.86
04-1-084327, 460447.86166754, -1256533.80142735, 1108002.40638562, 1.32, 1.20, 1.82
04-1-084335, 414980.69582769, -1262839.47659308, 1118743.15124093, 1.11, 0.99, 2.09
04-1-084338, 412747.93030145, -1267672.08963245, 1114093.97233750, 1.44, 1.29, 1.57
04-1-084342, 399261.51741962, -1261840.34777872, 1125570.04998599, 1.51, 1.45, 2.20
04-1-084343, 388729.12349681, -1270444.63283000, 1119561.90693452, 1.51, 1.34, 1.10
04-1-084344, 379001.92557475, -1275156.37341663, 1117538.60056178, 1.22, 1.11, 1.94
04-1-084349, 361908.71602220, -1278617.56834913, 1119248.83523554, 1.05, 0.99, 2.02
04-1-084352, 380722.67413351, -1271352.32416119, 1121281.53166391, 1.29, 1.20, 1.02
04-1-084353, 381997.00850220, -1268916.08783188, 1123605.36111965, 1.09, 1.04, 1.90
04-1-084354, 374999.87990229, -1265653.90206250, 1129625.62394238, 2.18, 2.07, 0.72
04-1-084355, 370326.36943771, -1265843.30684416, 1130954.40342082, 1.43, 1.33, 1.49
04-1-084357, 368817.27224782, -1253214.34383601, 1145419.74319258, 1.07, 0.97, 1.69
04-1-084360, 376763.42207328, -1257492.22120618, 1138121.87282100, 1.83, 1.74, 1.56
04-1-084367, 378886.12327253, -1260734.41063756, 1133822.21332354, 1.20, 1.08, 1.33
04-1-084368, 379758.04274549, -1262915.95009436, 1131099.41736674, 1.41, 1.34, 1.00
04-1-084371, 384589.94799958, -1261479.73802092, 1131069.49497383, 1.57, 1.40, 1.56
04-1-084373, 383195.02799728, -1262827.98603428, 1130037.96759523, 1.37, 1.28, 1.26
04-1-084374, 385063.49300894, -1264140.25647582, 1127933.63204978, 1.13, 1.06, 1.61
04-1-084375, 387124.56216375, -1264884.97814234, 1126392.17213162, 1.13, 1.10, 2.48
